Number of interventions	Set number	Force Set	Type of regulation	Min Flux in Wild-type(mmol/gDW hr)	Max Flux in Wild-type (mmol/gDW hr)	Min Flux in Mutant (mmol/gDW hr)	Max Flux in Mutant (mmol/gDW hr)	Achieved flux (mmol/gDW hr)	Objective function (mmol/gDW hr)	Minimum guaranteed for target (mmol/gDW hr)	Maximum guaranteed for target (mmol/gDW hr)	Maximum growth rate (1/hr)
1	1	{ACETOLACTATE-DECARBOXYLASE-RXN}	{upregulation}	{0}	{4.2599e-13}	{2.7578}	{2.7578}	{2.7578}	2.7578	2.7578	2.7578	0.0053
1	2	{ACETOLACTSYN-RXN}	{upregulation}	{0.01572}	{0.01572}	{2.7594}	{2.7599}	{2.7594}	2.7578	2.7578	2.7578	0.0053
1	3	{UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN}	{knockout}	{3.6871e-06}	{3.6871e-06}	{3.6801e-07}	{1.9512e-05}	{3.6871e-07}	0.0002	0.0000	2.7578	0.0053
1	4	{RR-BUTANEDIOL-DEHYDROGENASE-RXN}	{upregulation}	{0}	{4.2599e-13}	{2.7578}	{2.7578}	{2.7578}	2.7578	2.7578	2.7578	0.0053
1	5	{2.3.1.157-RXN}	{knockout}	{7.4271e-06}	{7.4271e-06}	{0}	{3.9025e-05}	{7.3742e-07}	0.0002	0.0000	2.7600	0.0052
1	6	{5.4.2.10-RXN}	{knockout}	{-7.4271e-06}	{-7.4271e-06}	{-3.9025e-05}	{0}	{-7.3742e-07}	0.0002	0.0000	2.7600	0.0052
1	7	{ALARACECAT-RXN}	{knockout}	{8.695e-06}	{8.695e-06}	{7.3602e-07}	{0.00022163}	{7.3742e-07}	0.0002	0.0000	2.7578	0.0053
1	8	{NAG1P-URIDYLTRANS-RXN}	{knockout}	{7.4271e-06}	{7.4271e-06}	{0}	{3.9025e-05}	{7.3742e-07}	0.0002	0.0000	2.7600	0.0052
1	9	{L-GLN-FRUCT-6-P-AMINOTRANS-RXN}	{knockout}	{7.4271e-06}	{7.4271e-06}	{0}	{3.9025e-05}	{7.3742e-07}	0.0002	0.0000	2.7600	0.0052
1	10	{DIHYDROPYRIMIDINASE-RXN}	{knockout}	{0.00076295}	{0.00076295}	{7.615e-05}	{0.00011188}	{7.6295e-05}	0.0763	0.0000	2.7578	0.0053
1	11	{PHOSNACMURPENTATRANS-RXN}	{knockout}	{3.6871e-06}	{3.6871e-06}	{3.6801e-07}	{1.9512e-05}	{3.6871e-07}	0.0002	0.0000	2.7578	0.0053
1	12	{2.7.7.39-RXN}	{knockout}	{1.3207e-06}	{1.3207e-06}	{0}	{0.00022163}	{1.3207e-07}	0.0000	0.0000	2.7578	0.0053
1	13	{GPPSYN-RXN}	{knockout}	{1.8436e-06}	{1.8436e-06}	{1.8401e-07}	{9.7562e-06}	{1.8436e-07}	0.0002	0.0000	2.7578	0.0053
1	14	{UDP-NACMURALA-GLU-LIG-RXN}	{knockout}	{3.6871e-06}	{3.6871e-06}	{3.6801e-07}	{1.9512e-05}	{3.6871e-07}	0.0002	0.0000	2.7578	0.0053
1	15	{2.7.1.148-RXN}	{knockout}	{2.0279e-05}	{2.0279e-05}	{0}	{0.00010732}	{0}	0.0002	0.0000	2.8545	0.0000
1	16	{butanediol_tx}	{downregulation}	{8.8107e-12}	{0}	{-2.7578}	{-2.7578}	{-2.7578}	2.7578	2.7578	2.7578	0.0053
1	17	{GLUTRACE-RXN}	{knockout}	{3.6871e-06}	{3.6871e-06}	{3.6801e-07}	{1.9512e-05}	{3.6871e-07}	0.0002	0.0000	2.7578	0.0053
1	18	{UDPNACETYLMURAMATEDEHYDROG-RXN}	{knockout}	{3.6871e-06}	{3.6871e-06}	{3.6801e-07}	{1.9512e-05}	{3.6871e-07}	0.0002	0.0000	2.7578	0.0053
