Number of interventions	Set number	Force Set	Type of regulation	Min Flux in Wild-type(mmol/gDW hr)	Max Flux in Wild-type (mmol/gDW hr)	Min Flux in Mutant (mmol/gDW hr)	Max Flux in Mutant (mmol/gDW hr)	Achieved flux (mmol/gDW hr)	Objective function (mmol/gDW hr)	Minimum guaranteed for target (mmol/gDW hr)	Maximum guaranteed for target (mmol/gDW hr)	Maximum growth rate (1/hr)
3	1	{ACETOLACTATE-DECARBOXYLASE-RXN, ACETOLACTSYN-RXN, RR-BUTANEDIOL-DEHYDROGENASE-RXN}	{upregulation, upregulation, upregulation}	{0, 0.025817, 0}	{-2.5336e-12, 0.025817, -2.5336e-12}	{4.8912, 4.8938, 4.8912}	{4.8912, 4.8938, 4.8912}	{4.8912, 4.8938, 4.8912}	4.8912	4.8912	4.8912	0.0086
3	2	{ACETOLACTATE-DECARBOXYLASE-RXN, ACETOLACTSYN-RXN, ethanol_tx}	{upregulation, upregulation, upregulation}	{0, 0.025817, -6.0176}	{-2.5336e-12, 0.025817, -6.0176}	{4.8912, 4.8938, -0.00012363}	{4.8912, 4.8938, 0}	{4.8912, 4.8938, 0}	4.8912	4.8912	4.8912	0.0086
3	3	{ACETOLACTSYN-RXN, RR-BUTANEDIOL-DEHYDROGENASE-RXN, ethanol_tx}	{upregulation, upregulation, upregulation}	{0.025817, 0, -6.0176}	{0.025817, -2.5336e-12, -6.0176}	{4.8938, 4.8912, -0.00012363}	{4.8938, 4.8912, 0}	{4.8938, 4.8912, 0}	4.8912	4.8912	4.8912	0.0086
3	4	{ACETOLACTSYN-RXN, RR-BUTANEDIOL-DEHYDROGENASE-RXN, PYRUFERREDUCT-RXN}	{upregulation, upregulation, upregulation}	{0.025817, 0, 0.37484}	{0.025817, -2.5336e-12, 0.37484}	{4.8938, 4.8912, 9.569}	{4.8938, 4.8912, 11.9093}	{4.8938, 4.8912, 9.8199}	4.8912	4.8912	4.8912	0.0086
3	5	{ACETOLACTATE-DECARBOXYLASE-RXN, ACETOLACTSYN-RXN, PYRUFERREDUCT-RXN}	{upregulation, upregulation, upregulation}	{0, 0.025817, 0.37484}	{-2.5336e-12, 0.025817, 0.37484}	{4.8912, 4.8938, 9.569}	{4.8912, 4.8938, 11.9093}	{4.8912, 4.8938, 9.8199}	4.8912	4.8912	4.8912	0.0086
3	6	{ACETOLACTATE-DECARBOXYLASE-RXN, ACETOLACTSYN-RXN, RXN-11811}	{upregulation, upregulation, downregulation}	{0, 0.025817, 0.32424}	{-2.5336e-12, 0.025817, 0.32424}	{4.8912, 4.8938, -0.21065}	{4.8912, 4.8938, -0.21038}	{4.8912, 4.8938, -0.21058}	4.8912	4.8912	4.8912	0.0086
3	7	{ACETOLACTATE-DECARBOXYLASE-RXN, ACETOLACTSYN-RXN, PHOSACETYLTRANS-RXN}	{upregulation, upregulation, downregulation}	{0, 0.025817, 9.3226}	{-2.5336e-12, 0.025817, 9.3226}	{4.8912, 4.8938, 0}	{4.8912, 4.8938, 0.55819}	{4.8912, 4.8938, 0.27302}	4.8912	4.8912	4.8912	0.0086
3	8	{ACETOLACTATE-DECARBOXYLASE-RXN, ACETOLACTSYN-RXN, ALCOHOL-DEHYDROG-RXN}	{upregulation, upregulation, downregulation}	{0, 0.025817, 6.0176}	{-2.5336e-12, 0.025817, 6.0176}	{4.8912, 4.8938, 0}	{4.8912, 4.8938, 0.00012363}	{4.8912, 4.8938, 0}	4.8912	4.8912	4.8912	0.0086
3	9	{ACETOLACTATE-DECARBOXYLASE-RXN, ACETOLACTSYN-RXN, ACETATEKIN-RXN}	{upregulation, upregulation, downregulation}	{0, 0.025817, 9.3226}	{-2.5336e-12, 0.025817, 9.3226}	{4.8912, 4.8938, 0}	{4.8912, 4.8938, 0.55819}	{4.8912, 4.8938, 0.27302}	4.8912	4.8912	4.8912	0.0086
3	10	{ACETOLACTATE-DECARBOXYLASE-RXN, ACETOLACTSYN-RXN, butanediol_tx}	{upregulation, upregulation, downregulation}	{0, 0.025817, 7.8217e-12}	{-2.5336e-12, 0.025817, 0}	{4.8912, 4.8938, -4.8912}	{4.8912, 4.8938, -4.8912}	{4.8912, 4.8938, -4.8912}	4.8912	4.8912	4.8912	0.0086
