Number of interventions	Set number	Force Set	Type of regulation	Min Flux in Wild-type(mmol/gDW hr)	Max Flux in Wild-type (mmol/gDW hr)	Min Flux in Mutant (mmol/gDW hr)	Max Flux in Mutant (mmol/gDW hr)	Achieved flux (mmol/gDW hr)	Objective function (mmol/gDW hr)	Minimum guaranteed for target (mmol/gDW hr)	Maximum guaranteed for target (mmol/gDW hr)	Maximum growth rate (1/hr)
3	1	{ACETOLACTATE-DECARBOXYLASE-RXN, RXN-7607, PHOSACETYLTRANS-RXN}	{upregulation, knockout, knockout}	{0, -999.9832, 9.3226}	{-3.6993e-12, 0.016752, 9.3226}	{4.8912, -1000, 0}	{4.8912, 0.14643, 0.55817}	{4.8912, 0, 0}	4.8912	4.8912	4.8912	0.0086
3	2	{ACETOLACTATE-DECARBOXYLASE-RXN, 1.2.1.2-RXN, RXN-14117}	{upregulation, knockout, knockout}	{0, -495.1334, 0.27855}	{-3.6993e-12, 504.8666, 999.7864}	{4.8912, -496.361, -0.11636}	{4.8912, 504.8093, 999.9787}	{4.8912, 0, 0}	4.8912	4.8912	4.8912	0.0086
3	3	{RR-BUTANEDIOL-DEHYDROGENASE-RXN, hyt_nadp, RXN-9998}	{upregulation, knockout, knockout}	{0, -483.479, 0}	{-3.6993e-12, 516.521, 0}	{4.8912, -483.479, 0}	{4.8912, 516.521, 0}	{4.8912, 0, 0}	4.8912	4.8912	4.8912	0.0086
3	4	{ACETOLACTSYN-RXN, ethanol_tx, RXN-15513}	{upregulation, knockout, knockout}	{0.025817, -6.0176, -999.8384}	{0.025817, -6.0176, 1000}	{4.8938, -0.00012414, -999.9839}	{4.8938, 0, 1000}	{4.8938, 0, 0}	4.8912	4.8912	4.8912	0.0086
3	5	{ACETOLACTATE-DECARBOXYLASE-RXN, hyt_nadp, RXN-15513}	{upregulation, knockout, knockout}	{0, -483.479, -999.8384}	{-3.6993e-12, 516.521, 1000}	{4.8912, -483.479, -999.9839}	{4.8912, 516.521, 1000}	{4.8912, 0, 0}	4.8912	4.8912	4.8912	0.0086
3	6	{ACETOLACTATE-DECARBOXYLASE-RXN, PYRUVATE-CARBOXYLASE-RXN, RXN-14074}	{upregulation, knockout, knockout}	{0, 0, 0.33104}	{-3.6993e-12, 0, 999.8388}	{4.8912, 0, 0}	{4.8912, 0.28497, 999.9839}	{4.8912, 0, 0}	4.8912	4.8912	4.8912	0.0086
3	7	{ACETOLACTATE-DECARBOXYLASE-RXN, GLUTDEHYD-RXN, FORMATETHFLIG-RXN}	{upregulation, knockout, knockout}	{0, 0.23424, 0}	{-3.6993e-12, 1000, 9.7374}	{4.8912, 0, 0}	{4.8912, 1000, 9.6187}	{4.8912, 0, 0}	4.8912	4.8912	4.8912	0.0086
3	8	{ACETOLACTATE-DECARBOXYLASE-RXN, formate_tx, hyt_nadp}	{upregulation, knockout, knockout}	{0, 9.2548e-12, -483.479}	{-3.6993e-12, 0, 516.521}	{4.8912, -0.00074187, -483.479}	{4.8912, 0, 516.521}	{4.8912, 0, 0}	4.8912	4.8912	4.8912	0.0086
3	9	{ACETOLACTATE-DECARBOXYLASE-RXN, ALCOHOL-DEHYDROG-RXN, FORMATETHFLIG-RXN}	{upregulation, knockout, knockout}	{0, 6.0176, 0}	{-3.6993e-12, 6.0176, 9.7374}	{4.8912, 0, 0}	{4.8912, 0.00012364, 9.6187}	{4.8912, 0, 0}	4.8912	4.8912	4.8912	0.0086
3	10	{RR-BUTANEDIOL-DEHYDROGENASE-RXN, ACETATEKIN-RXN, formate_tx}	{upregulation, knockout, knockout}	{0, 9.3226, 9.2548e-12}	{-3.6993e-12, 9.3226, 0}	{4.8912, 0, -0.00074187}	{4.8912, 0.55817, 0}	{4.8912, 0, 0}	4.8912	4.8912	4.8912	0.0086
3	11	{RR-BUTANEDIOL-DEHYDROGENASE-RXN, GARTRANSFORMYL2-RXN, RXN-14074}	{upregulation, knockout, knockout}	{0, 0, 0.33104}	{-3.6993e-12, 9.7374, 999.8388}	{4.8912, 0, 0}	{4.8912, 9.6187, 999.9839}	{4.8912, 0, 0}	4.8912	4.8912	4.8912	0.0086
3	12	{ACETOLACTATE-DECARBOXYLASE-RXN, hyt_nadp, acetaldehyde_oxidoreductase}	{upregulation, knockout, knockout}	{0, -483.479, 6.0176}	{-3.6993e-12, 516.521, 6.0176}	{4.8912, -483.479, -0.32316}	{4.8912, 516.521, 0.00012364}	{4.8912, 0, 0}	4.8912	4.8912	4.8912	0.0086
3	13	{ACETOLACTSYN-RXN, hyt_nadp, EX_ETOH}	{upregulation, knockout, knockout}	{0.025817, -483.479, 6.0176}	{0.025817, 516.521, 6.0176}	{4.8938, -483.479, 0}	{4.8938, 516.521, 0.00012364}	{4.8938, 0, 0}	4.8912	4.8912	4.8912	0.0086
3	14	{RR-BUTANEDIOL-DEHYDROGENASE-RXN, PHOSACETYLTRANS-RXN, hyt_nadp}	{upregulation, knockout, knockout}	{0, 9.3226, -483.479}	{-3.6993e-12, 9.3226, 516.521}	{4.8912, 0, -483.479}	{4.8912, 0.55817, 516.521}	{4.8912, 0, 0}	4.8912	4.8912	4.8912	0.0086
3	15	{ACETOLACTATE-DECARBOXYLASE-RXN, PHOSACETYLTRANS-RXN, hyt_nadp}	{upregulation, knockout, knockout}	{0, 9.3226, -483.479}	{-3.6993e-12, 9.3226, 516.521}	{4.8912, 0, -483.479}	{4.8912, 0.55817, 516.521}	{4.8912, 0, 0}	4.8912	4.8912	4.8912	0.0086
